main,middle,type,career,education,region,title,company,deadline,notice
마케팅·홍보·조사,"
, 데이터분석가, 데이터마이닝, 데이터시각화, 머신러닝, AE(광고기획자),  외            ",정규직,경력 2년 이상,대학교(4년) 이상,서울 강남구,[ 데이터 분석 담당자 2-7년 - 유명 미디어랩사 ],(주)피너클써치,2022-06-20,2022-06-08
마케팅·홍보·조사,"
, 광고영업, 인플루언서, AE(광고기획자), 뉴미디어, 미디어플래너,  외            ",정규직,경력 2년 이상,대학교(4년) 이상,서울 강남구,[ 퍼포먼스마케터 2-7년 - 유명 미디어랩사 ],(주)피너클써치,2022-06-17,2022-06-08
마케팅·홍보·조사,"
, AE(광고기획자), 미디어플래너, 마케팅기획, 마케팅전략, 광고마케팅,  외            ",정규직,경력 3년 이상,대학교(4년) 이상,서울 강남구,"[ 미디어 플래너 팀장, 팀원 - 유명 디지털 광고대행사]",(주)피너클써치,2022-06-20,2022-06-08
마케팅·홍보·조사,"
, 광고영업, AE(광고기획자), 뉴미디어, 미디어플래너, 스토리텔링,  외            ",정규직,경력 1년 이상,대학교(4년) 이상,서울 강남구,"[미디어 플래너 팀장, 팀원 - 유명 미디어렙사 ]",(주)피너클써치,2022-06-13,2022-06-01
마케팅·홍보·조사,"
, 영업마케팅, SNS, 병원마케팅, 마케팅기획, 마케팅전략,  외            ",정규직,경력 3년 이상,대학교(4년) 이상,서울 강남구,"[  퍼포먼스 마케팅 3-7년, 유명 미용 의료기]",(주)피너클써치,2022-06-17,2022-06-07
마케팅·홍보·조사,"
, 마케팅기획, 광고마케팅, 글로벌마케팅, 기업홍보, 디지털마케팅,  외            ",정규직,경력 3년 이상,대학교(4년) 이상,서울 종로구,[ 언론홍보/ IMC / 디지털 PR - 1위 홍보대행사 ],(주)피너클써치,2022-06-13,2022-06-03
마케팅·홍보·조사,"
, SNS, AE(광고기획자), 마케팅기획, 마케팅전략, 체험마케팅,  외            ",정규직,경력 2년 이상,대학교(4년) 이상,서울 강남구,"[퍼포먼스 마케팅 팀장, 팀원 - 유명 광고대행사]",(주)피너클써치,2022-06-13,2022-06-03
마케팅·홍보·조사,"
, SNS, AE(광고기획자), 미디어플래너, 유튜브, CF광고,  외            ",정규직,경력 2년 이상,대학교(4년) 이상,서울 강남구,"[  IMC 마케팅, 경력 2-7년 - 유명 광고대행사 ]",(주)피너클써치,2022-06-20,2022-06-08
마케팅·홍보·조사,"
, 소셜커머스, 오픈마켓, 이커머스, SNS, AE(광고기획자),  외            ",정규직,경력 2년 이상,대학교(4년) 이상,서울 강남구,"[ 이커머스 캠페인 경력 2-12년, 유명 광고대행사 ]",(주)피너클써치,2022-06-17,2022-06-08
마케팅·홍보·조사,"
, SNS, AE(광고기획자), 마케팅기획, 마케팅전략, 블로그마케팅,  외            ",정규직,신입 · 경력,대학교(4년) 이상,서울 종로구,"[ 제약 헬스케어 PR  신입 및 경력직, 홍보대행사 ]",(주)피너클써치,2022-06-17,2022-06-09
마케팅·홍보·조사,"
, 영업직, 해외영업, 기업영업, 바이어발굴/관리, 해외영업관리,  외            ",정규직,4 ~ 14년,대학교(4년) 이상,서울 용산구,[전선제조사]전력선 중국 해외영업(대리-과장급),(주)비에이블컨설팅그룹,2022-06-17,2022-06-03
마케팅·홍보·조사,"
, 영업직, 해외영업, 기업영업, 바이어발굴/관리, 해외영업관리,  외            ",정규직,2 ~ 9년,대학교(4년) 이상,서울 용산구,[전선제조사]전력선 미주 해외영업(사원-대리급),(주)비에이블컨설팅그룹,2022-06-17,2022-06-03
마케팅·홍보·조사,"
, 미디어플래너, IMC,  ",정규직,5 ~ 12년,대학교(4년) 이상,서울 강남구,Media Planner ~ Media Manager(대리~차장급) / 글로벌 광고대행,프로페셔날핸즈인핸즈코리아(주),2022-06-17,2022-06-07
마케팅·홍보·조사,"
, 해외영업, 글로벌마케팅, 영업,  ",정규직,9 ~ 16년,대학교(4년) 이상,서울 금천구,[화장품 중견 기업]  해외 영업 팀장,에이치알포유(주),2022-06-23,2022-06-07
마케팅·홍보·조사,"
, AE(광고기획자), 광고기획, 마케팅, 홍보, 기획,  ",정규직,3 ~ 6년,대학교(4년) 이상,서울 강남구,"Account Executive(광고기획,대리급) / 글로벌 광고대행사",프로페셔날핸즈인핸즈코리아(주),2022-06-17,2022-06-07
마케팅·홍보·조사,"
, AE(광고기획자), 광고기획, 브랜드마케팅, 마케팅, IMC,  외            ",정규직,14 ~ 20년,대학교(4년) 이상,서울 강남구,Account Director(광고기획.국장급) / 글로벌 광고대행사,프로페셔날핸즈인핸즈코리아(주),2022-06-17,2022-06-07
마케팅·홍보·조사,"
, 해외시장개척, 해외영업, B2B, B2C, 해외영업관리,  외            ",정규직,경력 8년 이상,대학교(4년) 이상,서울 성동구,이커머스 해외사업 총괄-모바일 플랫폼 전문기업,(주)에이치알원 컨설팅,채용시,2022-06-07
마케팅·홍보·조사,"
, 쇼핑몰관리, 온라인영업, 온라인MD, 상품관리, 오픈마켓,  외            ",정규직,경력 4년 이상,대학교(4년) 이상,서울 강남구,온라인마케팅 경력자-생활용품 전문 중견기업,(주)에이치알원 컨설팅,채용시,2022-06-06
마케팅·홍보·조사,"
, 광고마케팅, 브랜드마케팅, 광고디자인, 그래픽디자인, 로고디자인,  외            ",정규직,1 ~ 15년,대학교(4년) 이상,서울 강남구,[2사/브랜딩- BI/BX/CI] 브랜드기획(컨설팅). 브랜드디자이너,(주)프로매치코리아,2022-06-24,2022-06-06
마케팅·홍보·조사,"
, 브랜드기획, 마케팅기획, 블로그마케팅, SNS마케팅, 콘텐츠기획,  외            ",정규직,신입 · 경력,대학교(4년) 이상,서울 강남구,(급) 온라인 광고마케팅기획/AE -화장품/건기식제조&디지털대행,(주)프로매치코리아,2022-06-24,2022-06-06
마케팅·홍보·조사,"
, 문서작성, 통/번역, AE(광고기획자), CW(카피라이터), 영어,  외            ",정규직,신입 · 경력,대학교(4년) 이상,서울 강남구,(신입/경력) 광고기획/AE(영어). 아트디렉터 -아시아권/디지털-,(주)프로매치코리아,2022-06-24,2022-06-06
마케팅·홍보·조사,"
, 브랜드기획, 마케팅기획, 블로그마케팅, SNS마케팅, 콘텐츠기획,  외            ",정규직,신입 · 경력,대학교(4년) 이상,서울 강남구,(톱10) 온라인마케팅/퍼포먼스마케팅/AE-팀/협의. BX/BI/브랜딩.,(주)프로매치코리아,2022-06-24,2022-06-06
마케팅·홍보·조사,"
, AD(아트디렉터), AE(광고기획자), CW(카피라이터), 마케팅기획, 마케팅전략,  외            ",정규직,7 ~ 15년,대학교(4년) 이상,서울 강남구,미디어플래너/매체기획 (본부장/팀장급-디지털),(주)프로매치코리아,2022-06-24,2022-06-06
