main,middle,type,career,education,region,title,company,deadline,notice
금융·보험,"
, 공인회계사, CFA, 기업회계, 내부감사, 재무제표,  외            ",정규직,5 ~ 10년,대학교(4년) 이상,서울 강남구,사업기획/전략기획 (팀장급) -수평조직/디지털마케팅사-,(주)프로매치코리아,2022-06-24,2022-06-06
금융·보험,"
, 시설관리, 자산관리, 부동산영업, 점포개발, 부동산투자,  외            ",정규직,경력 5년 이상,"대학(2,3년) 이상",서울 중구,[대기업] 부동산 PM(임대관리) (정규직),(주)비에이블컨설팅그룹,채용시,2022-06-02
금융·보험,"
, 관리회계, 기업회계, 세무회계, 연결회계, 원가회계,  외            ",정규직,경력 7년 이상,학력무관,서울 영등포구,(외국계) Financial Planning & Reporting manager,(주)맨파워그룹코리아,2022-06-17,2022-05-27
금융·보험,"
, 주식영업,  ",정규직,경력 10년 이상,"대학(2,3년) 이상",서울전체,[ICT] IR (차장-이사급),(주)베스트에치알 (Best HR),2022-07-10,2022-06-05
금융·보험,"
, 감사, 경리, 세무사, 전산회계, 관리회계,  외            ",정규직,경력무관,학력무관,경기 광명시,[정규직/연2700~3600만/광명]코스닥 상장사 경영지원실 채용,(주)키스템프그룹,2022-06-16,2022-06-04
금융·보험,"
, 보험설계사, 생명보험사, 상담원, 아웃바운드, 텔레마케터,  외            ",위촉직,경력무관,학력무관,서울 종로구,외국계생명보험사 상담원 아웃바운드00명 종로,(주)블루스타에이치알,2022-07-01,2022-06-01
금융·보험,"
, 경영기획, 전략기획, M&A, 기업분석, 기업심사,  외            ",정규직,6 ~ 14년,대학교(4년) 이상,서울 서초구,[1군 건설사] 투자사업부 경력직 채용,(주)마이더스에이치알,채용시,2022-06-03
금융·보험,"
, 경영기획, 전략기획, M&A, 기업분석, 기업심사,  외            ",정규직,3 ~ 11년,대학교(4년) 이상,서울 영등포구,[1군 건설사] 투자사업부 컨설팅 경력자 채용,(주)마이더스에이치알,채용시,2022-06-03
금융·보험,"
, 부동산투자, 부동산,  ",정규직,5 ~ 13년,대학교(4년) 이상,서울 영등포구,[1군 건설사] 전략사업팀 부동산 개발 경력직 채용,(주)마이더스에이치알,채용시,2022-06-03
금융·보험,"
, 경영기획, 전략기획, M&A, 기업분석, 기업심사,  외            ",정규직,3 ~ 11년,대학교(4년) 이상,서울 영등포구,[1군 건설사] 투자사업부 투자전략 및 신사업전략 경력직 채용,(주)마이더스에이치알,채용시,2022-06-03
금융·보험,"
, 보험심사, 기업분석, 기업심사, 대출심사, 부동산투자,  외            ",정규직,경력 4년 이상,대학교(4년) 이상,서울 강남구,[우량 캐피탈] 여신 심사 경력자 채용[대리-과장급),(주)서치브레인,채용시,2022-06-03
금융·보험,"
, 데이터분석가, 데이터엔지니어, SQL, 리서치, 데이터분석,  외            ",정규직,3 ~ 15년,대학교(4년) 이상,서울 강남구,[우량 스타트업] Research Analyst(Data Analyst) 경력채용,(주)핀커스코리아,2022-06-18,2022-06-02
금융·보험,"
, 원가회계, 재무회계, 경영기획, 사업기획, 전략기획,  외            ",정규직,경력 7년 이상,대학교(4년) 이상,서울 강남구,신사업기획 및 투자 경력자-생활용품 소비재 중견기업,(주)에이치알원 컨설팅,채용시,2022-06-02
금융·보험,"
, 감사, 컴플라이언스, 지속가능경영, 재무분석, 투자분석,  ",정규직,경력 10년 이상,대학교(4년) 이상,경기 성남시 분당구,"[유명 코스닥 기업] 경영진단, 개선 / 내부회계 과차장급",굿커리어,채용시,2022-05-26
금융·보험,"
, 애널리스트, 기업분석, 기업심사, 주식투자, 투자자문,  외            ",정규직 · 계약직,15 ~ 20년,대학교(4년) 이상,서울 서초구,유명 주식투자 컨설팅 기업 투자자문 전문가 부장급 채용,인파트너스,채용시,2022-05-27
금융·보험,"
, 경영기획, 전략기획, 신사업발굴, 조직관리, 타당성검토,  외            ",정규직,10 ~ 15년,대학교(4년) 이상,서울 종로구,[대기업/반도체소재] 경영관리 및 기획업무의 총괄(10년~15년),(주)라온서치,2022-06-17,2022-06-01
금융·보험,"
, 전략기획, 신사업발굴, 타당성검토, 재무분석, 컨설턴트,  ",정규직,5 ~ 10년,대학교(4년) 이상,세종 세종특별자치시,[대기업/반도체소재] 전략기획 전문인력 (대리-과장급),(주)라온서치,2022-06-17,2022-06-01
금융·보험,"
, 사업기획, 전략기획, 데이터분석, 사업개발, 신사업기획,  외            ",정규직,3 ~ 10년,석사 이상,서울 서초구,화학섬유 소재 코스피 상장사 신규사업개발 대리과장급 채용,인파트너스,2022-06-23,2022-06-08
금융·보험,"
, 재무기획, 재무분석, 재무,  ",정규직,3 ~ 5년,대학교(4년) 이상,서울 강남구,[국내금융기업] 재무분석 경력직 채용,휴먼인써치,2022-07-10,2022-06-01
금융·보험,"
, 영업관리, 기업금융, 영업, 심사역,  ",정규직,5 ~ 10년,대학교(4년) 이상,인천 미추홀구,[국내금융기업] 기업금융 영업 경력직 채용,휴먼인써치,2022-07-10,2022-05-31
금융·보험,"
, 영업관리, 영업지원, 영업직, 해외영업, 기업영업,  외            ",정규직,경력 3년 이상,학력무관,서울 강남구,긴급) 영업기획 (3년 이상) - 국내TOP 상용여행사 - 최우대,휴머레인컨설팅,2022-07-10,2022-05-30
금융·보험,"
, 영업관리, 영업지원, 영업직, 해외영업, 기업영업,  외            ",정규직,경력 3년 이상,학력무관,서울 강남구,긴급) 국내 TOP 상용여행사 - 영업기획 (3년 이상) - 최우대,휴머레인컨설팅,2022-07-10,2022-05-30
금융·보험,"
, 공인회계사, 회계사, KICPA, 법인결산, 투자전략,  외            ",정규직,경력 3년 이상,학력무관,서울 강남구,긴급) 투자전략 (3년 이상) - 그룹 지주사 - 최우대,휴머레인컨설팅,2022-07-10,2022-05-30
금융·보험,"
, 공인회계사, 회계사, KICPA, 법인결산, 투자전략,  외            ",정규직,경력 3년 이상,학력무관,서울 강남구,긴급) 그룹 지주사 - 투자전략 (3년 이상) - 최우대,휴머레인컨설팅,2022-07-10,2022-05-30
금융·보험,"
, AICPA, KICPA, 전략기획, 신사업기획, M&A,  외            ",정규직,경력 4년 이상,대학교(4년) 이상,서울 마포구,M&A/딜/기업가치평가/애널리스트/기업인수합병,(주)맨토스파워,채용시,2022-06-07
금융·보험,"
, IR/공시, IPO, 재무분석, 재무,  ",정규직,3 ~ 7년,대학교(4년) 이상,서울 서초구,인공지능(AI) 기반 신약개발 플랫폼 기업 백엔드개발자,파워에이치알,2022-07-08,2022-06-08
금융·보험,"
, IT컨설팅, M&A, 기업분석, 기업심사, 투자자문,  ",정규직,경력무관,학력무관,서울 강남구,09. [유명상장사] M&A 투자관리,베스트네트워크㈜,2022-07-07,2022-06-07
금융·보험,"
, 자산관리, 부동산영업, 부동산투자, 투자자문, 공인중개사,  외            ",정규직,4 ~ 11년,학력무관,서울 서초구,LM(임대컨설팅)--대리과장급--국내1위대기업계여부동산자산관리,(주)에이치알그룹,2022-06-14,2022-05-29
금융·보험,"
, 재무제표, 회계결산, IFRS, 재무분석, 회계,  외            ",정규직,4 ~ 13년,대학교(4년) 이상,서울 강남구,외국계 보험사 재무 결산 담당자,프로페셔날핸즈인핸즈코리아(주),채용시,2022-05-27
금융·보험,"
, 애널리스트, 펀드매니저, 기업분석, 기업심사, 주식투자,  외            ",계약직,4 ~ 16년,대학교(4년) 이상,서울 강남구,[대형증권사] 델타원 운용,(주)인코리아 프로페셔널(In Korea Profe..,2022-07-09,2022-06-09
금융·보험,"
, 애널리스트, 펀드매니저, 기업분석, 기업심사, 주식투자,  외            ",계약직,8 ~ 16년,대학교(4년) 이상,서울 강남구,[대형증권사] 자산배분/ MP운용 금융상품 투자전략 수립,(주)인코리아 프로페셔널(In Korea Profe..,2022-07-09,2022-06-09
금융·보험,"
, 애널리스트, 펀드매니저, 기업분석, 기업심사, 주식투자,  외            ",계약직,15 ~ 20년,대학교(4년) 이상,서울 강남구,[대형증권사] DLS발행/운용 총괄 (부서장),(주)인코리아 프로페셔널(In Korea Profe..,2022-07-09,2022-06-09
금융·보험,"
, 블록체인, 애널리스트, 기업분석, 기업심사, 주식투자,  외            ",계약직,12 ~ 20년,대학교(4년) 이상,서울 강남구,[대형증권사] 블록체인 및 가상자산 관련Biz기획 (리더급),(주)인코리아 프로페셔널(In Korea Profe..,2022-07-09,2022-06-09
금융·보험,"
, 블록체인, 애널리스트, 기업분석, 기업심사, 주식투자,  외            ",계약직,8 ~ 12년,대학교(4년) 이상,서울 강남구,[대형증권사] 블록체인 애널리스트,(주)인코리아 프로페셔널(In Korea Profe..,2022-07-09,2022-06-09
금융·보험,"
, 펀드매니저, 기업분석, 기업심사, 주식투자, 투자자문,  외            ",계약직,4 ~ 15년,대학교(4년) 이상,서울 강남구,[대형증권사] 신기사 운용,(주)인코리아 프로페셔널(In Korea Profe..,2022-07-09,2022-06-09
금융·보험,"
, 신탁, 부동산개발,  ",정규직,3 ~ 10년,대학교(4년) 이상,서울 강남구,[동종업계 1위 기업]  부동산 개발 경력 3년 ~10년,(주)케이맨파워,2022-06-18,2022-06-09
금융·보험,"
, 부동산투자,  ",정규직,경력 7년 이상,학력무관,서울 강남구,05. 리츠 전문가 [유명신탁사],베스트네트워크㈜,2022-07-07,2022-06-07
금융·보험,"
, 사업기획, 전략기획, 투자전략, M&A, 기업분석,  외            ",정규직,8 ~ 15년,대학교(4년) 이상,서울 강남구,Top-tier 자산운용사 전략기획실 팀장급(부장이사),(주)스카우트파트너스,채용시,2022-06-09
금융·보험,"
, 감사, 경영기획, 전략기획, 경영분석, 사업관리,  외            ",정규직,경력 5년 이상,대학교(4년) 이상,서울 종로구,"[대기업/제조] 경영진단,감사/경영지원팀/그룹전략기획",HR컨설팅(주),2022-07-09,2022-06-09
금융·보험,"
, 자산관리, 부동산투자, 도시개발, 투자검토, 부동산개발,  ",정규직,4 ~ 8년,대학교(4년) 이상,서울 강남구,유명부동산금융 IB  부동산투자검토/자산관리 과차장급,(주)스카우트파트너스,채용시,2022-06-09
금융·보험,"
, 부동산투자, 자산운용, 증권사, 부동산,  ",정규직,4 ~ 13년,대학교(4년) 이상,서울 강남구,부동산자산운용사 국내외부동산투자/운용팀 대리~차장급,(주)스카우트파트너스,채용시,2022-06-09
금융·보험,"
, 펀드매니저, 부동산투자, 투자자문, 자산운용사, 펀드,  외            ",정규직,10 ~ 17년,대학교(4년) 이상,서울 강남구,다국적 부동산금융사 해외투자부문 본부장/팀장,(주)스카우트파트너스,채용시,2022-06-09
금융·보험,"
, 부동산투자, 부동산, 펀드, 자산운용사, 리츠,  외            ",정규직,경력 20년 이상,대학교(4년) 이상,서울 강남구,Top-tier부동산금융사 리츠총괄본부장,(주)스카우트파트너스,채용시,2022-06-09
금융·보험,"
, 보안컨설팅, 정보보안, CISO, IT컨설팅, ICT컨설팅,  외            ",정규직,3 ~ 10년,대학교(4년) 이상,경기 성남시 분당구,"(1등 포털, 1등 클라우드 금융보안 컴플라이언스)",(주)메이븐앤컴퍼니,2022-07-09,2022-06-09
금융·보험,"
, 감사, 공인회계사, AICPA, CFA, KICPA,  외            ",정규직,4 ~ 10년,대학교(4년) 이상,경기 성남시 분당구,"코스피 상장, 판교 위치 화장품기업 경영진단 대리-과장급",한스컨설팅,채용시,2022-06-08
금융·보험,"
, 공인회계사, 관리회계, 기업회계, 세무회계, 연결회계,  외            ",정규직,경력무관,대학교(4년) 이상,경기 성남시 분당구,글로벌 대기업 재무 결산 신사업 투자분야 긴급 채용,에이치알클릭,2022-07-08,2022-06-08
금융·보험,"
, 공인회계사, 회계사, CFA, KICPA, 회계법인,  외            ",정규직,경력 5년 이상,대학교(4년) 이상,서울 종로구,글로벌 대기업 배터리소재 투자 전문가 긴급 채용,에이치알클릭,2022-07-08,2022-06-08
금융·보험,"
, IR/공시, 외부감사, 자금관리, 재무제표, IFRS,  외            ",정규직,5 ~ 14년,대학교(4년) 이상,서울 종로구,글로벌 대기업 IR 전략 담당자 긴급 채용,에이치알클릭,2022-07-08,2022-06-08
금융·보험,"
, 공인회계사, 회계사, CFA, 회계법인, 사업기획,  외            ",정규직,경력 7년 이상,대학교(4년) 이상,서울 종로구,"글로벌 대기업 M&A, JV, 지분 투자 전문가 긴급 채용",에이치알클릭,2022-07-08,2022-06-08
금융·보험,"
, IR/공시, 투자전략, 주식투자, NDR,  ",정규직,경력 4년 이상,대학교(4년) 이상,서울 강남구,국내 대기업 식품제조사/ IR 담당,(주)맨토스파워,2022-06-13,2022-06-08
