main,middle,type,career,education,region,title,company,deadline,notice
기획·전략,"
, 데이터분석가, 데이터마이닝, 데이터시각화, 머신러닝, AE(광고기획자),  외            ",정규직,경력 2년 이상,대학교(4년) 이상,서울 강남구,[ 데이터 분석 담당자 2-7년 - 유명 미디어랩사 ],(주)피너클써치,2022-06-20,2022-06-08
기획·전략,"
, AE(광고기획자), 미디어플래너, 마케팅기획, 마케팅전략, 광고마케팅,  외            ",정규직,경력 3년 이상,대학교(4년) 이상,서울 강남구,"[ 미디어 플래너 팀장, 팀원 - 유명 디지털 광고대행사]",(주)피너클써치,2022-06-20,2022-06-08
기획·전략,"
, 영업마케팅, SNS, 병원마케팅, 마케팅기획, 마케팅전략,  외            ",정규직,경력 3년 이상,대학교(4년) 이상,서울 강남구,"[  퍼포먼스 마케팅 3-7년, 유명 미용 의료기]",(주)피너클써치,2022-06-17,2022-06-07
기획·전략,"
, SNS, AE(광고기획자), 마케팅기획, 마케팅전략, 체험마케팅,  외            ",정규직,경력 2년 이상,대학교(4년) 이상,서울 강남구,"[퍼포먼스 마케팅 팀장, 팀원 - 유명 광고대행사]",(주)피너클써치,2022-06-13,2022-06-03
기획·전략,"
, SNS, AE(광고기획자), 미디어플래너, 유튜브, CF광고,  외            ",정규직,경력 2년 이상,대학교(4년) 이상,서울 강남구,"[  IMC 마케팅, 경력 2-7년 - 유명 광고대행사 ]",(주)피너클써치,2022-06-20,2022-06-08
기획·전략,"
, 소셜커머스, 오픈마켓, 이커머스, SNS, AE(광고기획자),  외            ",정규직,경력 2년 이상,대학교(4년) 이상,서울 강남구,"[ 이커머스 캠페인 경력 2-12년, 유명 광고대행사 ]",(주)피너클써치,2022-06-17,2022-06-08
기획·전략,"
, 관리회계, 기업회계, 법인결산, 세무신고, 세무조정,  외            ",정규직,경력 10년 이상,대학교(4년) 이상,광주 광산구,"[ 물류 사업기획, 이천 - 유명 물류회사 ]",(주)피너클써치,2022-06-13,2022-06-03
기획·전략,"
, SNS, AE(광고기획자), 마케팅기획, 마케팅전략, 블로그마케팅,  외            ",정규직,신입 · 경력,대학교(4년) 이상,서울 종로구,"[ 제약 헬스케어 PR  신입 및 경력직, 홍보대행사 ]",(주)피너클써치,2022-06-17,2022-06-09
기획·전략,"
, 전산회계, 관리회계, 기업회계, 법인결산, 법인세신고,  외            ",정규직,경력 10년 이상,대학교(4년) 이상,서울 강동구,"[ 재무관리 팀장급, 광주 - 유명 물류회사 ]",(주)피너클써치,2022-06-17,2022-06-09
기획·전략,"
, 경영기획, 전략기획, 경영분석, 경영관리,  ",정규직,8 ~ 13년,대학교(4년) 이상,서울 강남구,[패션중견기업] 경영기획 과장급,토니서치,2022-06-23,2022-06-08
기획·전략,"
, 게임개발, 백엔드/서버개발, 앱개발, 웹개발, 웹마스터,  외            ",정규직,경력 7년 이상,"대학(2,3년) 이상",서울 강서구,[모바일게임개발회사]프론트엔드/백엔드/풀스택(과장-차장급),(주)비에이블컨설팅그룹,2022-06-17,2022-06-02
기획·전략,"
, 게임개발, 백엔드/서버개발, 앱개발, 웹개발, 웹마스터,  외            ",정규직,경력 3년 이상,"대학(2,3년) 이상",서울 강서구,[모바일게임개발회사]UI/UX/게임 디자이너(대리-과장급),(주)비에이블컨설팅그룹,2022-06-17,2022-06-02
기획·전략,"
, 사업기획, 경영분석, 경영컨설팅, 경영혁신(PI), 사업개발,  외            ",정규직,경력 10년 이상,대학교(4년) 이상,경기 안양시 만안구,[가전부품제조사]기획팀장(부장급),(주)비에이블컨설팅그룹,2022-06-17,2022-06-02
기획·전략,"
, 사업기획, 경영분석, 경영컨설팅, 경영혁신(PI), 사업개발,  외            ",정규직,경력 4년 이상,대학교(4년) 이상,경기 안양시 만안구,[가전부품제조사]경영기획(대리-차장급),(주)비에이블컨설팅그룹,2022-06-17,2022-05-29
기획·전략,"
, 서비스기획, 앱기획, 웹기획, 스토리보드, UI/UX,  ",정규직,경력 3년 이상,대학교(4년) 이상,서울 서초구,[교육관련/중견코스닥상장사] 웹/앱기획 업무 포지션,에이치알써치,2022-07-10,2022-06-07
기획·전략,"
, AE(광고기획자), 광고기획, 마케팅, 홍보, 기획,  ",정규직,3 ~ 6년,대학교(4년) 이상,서울 강남구,"Account Executive(광고기획,대리급) / 글로벌 광고대행사",프로페셔날핸즈인핸즈코리아(주),2022-06-17,2022-06-07
기획·전략,"
, AE(광고기획자), 광고기획, 브랜드마케팅, 마케팅, IMC,  외            ",정규직,14 ~ 20년,대학교(4년) 이상,서울 강남구,Account Director(광고기획.국장급) / 글로벌 광고대행사,프로페셔날핸즈인핸즈코리아(주),2022-06-17,2022-06-07
기획·전략,"
, 정보통신, HRD, 인사교육, 직업훈련, 교육기획,  외            ",정규직,5 ~ 20년,대학교(4년) 이상,서울 강남구,중견 에듀테크 리딩기업 IT교육사업팀장 모집,커리어커넥트(주),채용시,2022-06-07
기획·전략,"
, 식품연구, 가공식품, 건강기능식품, 브랜드런칭, 상품분석,  외            ",정규직,경력 2년 이상,대학교(4년) 이상,서울 강남구,가공 식품 상품개발 경력자-글로벌 식품 소비재 기업,(주)에이치알원 컨설팅,채용시,2022-06-07
기획·전략,"
, 감사, 관리회계, 내부감사, 재무기획, 재무회계,  외            ",정규직,경력 4년 이상,대학교(4년) 이상,서울 중구,경영진단 경력자-국내 대형 F&B 기업,(주)에이치알원 컨설팅,채용시,2022-06-06
기획·전략,"
, 광고마케팅, 브랜드마케팅, 광고디자인, 그래픽디자인, 로고디자인,  외            ",정규직,1 ~ 15년,대학교(4년) 이상,서울 강남구,[2사/브랜딩- BI/BX/CI] 브랜드기획(컨설팅). 브랜드디자이너,(주)프로매치코리아,2022-06-24,2022-06-06
기획·전략,"
, 브랜드기획, 마케팅기획, 블로그마케팅, SNS마케팅, 콘텐츠기획,  외            ",정규직,신입 · 경력,대학교(4년) 이상,서울 강남구,(급) 온라인 광고마케팅기획/AE -화장품/건기식제조&디지털대행,(주)프로매치코리아,2022-06-24,2022-06-06
기획·전략,"
, 문서작성, 통/번역, AE(광고기획자), CW(카피라이터), 영어,  외            ",정규직,신입 · 경력,대학교(4년) 이상,서울 강남구,(신입/경력) 광고기획/AE(영어). 아트디렉터 -아시아권/디지털-,(주)프로매치코리아,2022-06-24,2022-06-06
기획·전략,"
, 브랜드기획, 마케팅기획, 블로그마케팅, SNS마케팅, 콘텐츠기획,  외            ",정규직,신입 · 경력,대학교(4년) 이상,서울 강남구,(톱10) 온라인마케팅/퍼포먼스마케팅/AE-팀/협의. BX/BI/브랜딩.,(주)프로매치코리아,2022-06-24,2022-06-06
기획·전략,"
, AD(아트디렉터), AE(광고기획자), CW(카피라이터), 마케팅기획, 마케팅전략,  외            ",정규직,7 ~ 15년,대학교(4년) 이상,서울 강남구,미디어플래너/매체기획 (본부장/팀장급-디지털),(주)프로매치코리아,2022-06-24,2022-06-06
기획·전략,"
, 공인회계사, CFA, 기업회계, 내부감사, 재무제표,  외            ",정규직,5 ~ 10년,대학교(4년) 이상,서울 강남구,사업기획/전략기획 (팀장급) -수평조직/디지털마케팅사-,(주)프로매치코리아,2022-06-24,2022-06-06
기획·전략,"
, SNS마케팅, 콘텐츠기획, 광고마케팅, 광고PD, 디지털마케팅,  외            ",정규직,신입 · 경력,대학교(4년) 이상,서울 강남구,광고기획/AE. 퍼포먼스. 아트/카피/PD. 매체. 브랜딩. 전시기획,(주)프로매치코리아,2022-06-24,2022-06-06
기획·전략,"
, 행사기획, 이벤트프로모션, BTL, 건축디자인, 경관디자인,  외            ",정규직,7 ~ 16년,대학교(4년) 이상,서울 강남구,[대기업] 인테리어(주거/Interior). 익스테리어(공동주택),(주)프로매치코리아,2022-06-24,2022-06-06
기획·전략,"
, 사업기획, 전략기획, 사업관리, 신사업기획, 신사업발굴,  외            ",정규직,5 ~ 10년,대학교(4년) 이상,경기 성남시 분당구,유명 소비재그룹 건강기능식품본부 사업전략 담당,(주)파인에이치알,2022-06-20,2022-06-06
기획·전략,"
, 관리회계, 손익관리, 예산관리, 외부감사, 자금관리,  외            ",정규직,15 ~ 20년,대학교(4년) 이상,경기 성남시 분당구,유명 교육 콘텐츠기업 재경팀장 (IPO 진행 경험자),(주)파인에이치알,2022-06-20,2022-06-06
기획·전략,"
, 상품기획,  ",정규직,5 ~ 10년,대학교(4년) 이상,서울 강남구,전자제품 상품기획 경력자 - 대리차장급,(주)휴메인서치,2022-07-10,2022-06-06
기획·전략,"
, 기술사업화, 인/허가, R&D기획, 신재생에너지, 기술기획,  외            ",정규직,3 ~ 6년,대학교(4년) 이상,서울 종로구,사업개발 및 관리 경력자-글로벌 에너지그룹 지주사,(주)에이치알원 컨설팅,채용시,2022-06-05
기획·전략,"
, 안전관리자, 환경관리자, 안전보건관리자, 안전관리, 중대재해처벌법,  외            ",정규직,경력 4년 이상,대학교(4년) 이상,서울 종로구,안전관리 기획 경력자-글로벌 에너지 그룹사,(주)에이치알원 컨설팅,채용시,2022-06-05
기획·전략,"
, 영업마케팅, B2C, 매출관리, 바이어발굴/관리, 온라인영업,  외            ",정규직,경력 3년 이상,대학교(4년) 이상,서울 동작구,[중견기업] 소비재(FMCG) 브랜드매니저(BM/PM) (대리급),(주)비에이블컨설팅그룹,채용시,2022-06-02
기획·전략,"
, 채용담당자, 헤드헌터, ER(노무관리), HR컨설팅, HRD,  외            ",계약직,경력 3년 이상,학력무관,서울 강남구,외국계브랜드 Retail HR담당자(계약직),(주)맨파워그룹코리아,2022-07-10,2022-06-05
기획·전략,"
, 관리회계, 기업회계, 세무회계, 연결회계, 원가회계,  외            ",정규직,경력 7년 이상,학력무관,서울 영등포구,(외국계) Financial Planning & Reporting manager,(주)맨파워그룹코리아,2022-06-17,2022-05-27
기획·전략,"
, 채용담당자, 헤드헌터, ER(노무관리), HR컨설팅, HRD,  외            ",계약직,경력 3년 이상,학력무관,서울 강남구,[외국계] 유명 브랜드 Retail HR Manager,(주)맨파워그룹코리아,2022-06-14,2022-06-07
기획·전략,"
, M&A,  ",정규직,경력 4년 이상,대학교(4년) 이상,유럽 독일,[대기업] 독일 주재원/ M&A 담당(직급 협의),(주)베스트에치알 (Best HR),2022-07-10,2022-06-05
기획·전략,"
, 경영기획,  ",정규직,경력 8년 이상,석사 이상,서울 강남구,[대기업] 경영기획/ 미국 MBA (과장-차장급),(주)베스트에치알 (Best HR),2022-07-10,2022-06-05
기획·전략,"
, 서비스기획, 웹기획, 기획, 스토리보드, UI/UX,  외            ",정규직,경력 8년 이상,"대학(2,3년) 이상",서울 강남구,[FnB] (온라인) 플랫폼기획(PM) (과장/차장급),(주)베스트에치알 (Best HR),2022-07-10,2022-06-05
기획·전략,"
, 마케팅기획, 마케팅전략, SNS마케팅, 광고마케팅, 디지털마케팅,  외            ",정규직,3 ~ 6년,대학교(4년) 이상,서울 서초구,[글로벌유명브랜드] Marketing Specialist(3년~5년),퍼솔켈리코리아(유),채용시,2022-06-03
기획·전략,"
, 인사교육, 인사기획, 인사기획, 인사,  ",정규직,3 ~ 8년,대학교(4년) 이상,서울 영등포구,[글로벌 탑티어 컨설팅 회사] HR 담당자 (3-8년차),퍼솔켈리코리아(유),채용시,2022-06-03
기획·전략,"
, 기술영업, 영업관리, 영업지원, 영업직, 건설영업,  외            ",정규직,2 ~ 8년,대학교(4년) 이상,서울 강남구,[1군 종합건설기업] 개발영업 채용,온리원파트너스(주),2022-07-10,2022-06-04
기획·전략,"
, 4대보험, 급여(Payroll), 연말정산, 총무, 경영지원,  외            ",정규직,경력 10년 이상,대학교(4년) 이상,서울 강남구,[강남구/연8000] 유명브랜드 본사 인사팀장,(주)키스템프그룹,2022-06-15,2022-06-04
기획·전략,"
, PM(프로젝트매니저),  ",정규직,경력 10년 이상,대학교(4년) 이상,경기 성남시 분당구,[글로벌 탑티어 자동차 부품사] HW PM (과장급이상) 채용,(주)피너클써치,2022-07-10,2022-06-04
기획·전략,"
, 서비스기획, 기획,  ",정규직,경력 2년 이상,대학교(4년) 이상,서울 중구,[공기업] 디지털 금융 분야 서비스 기획자 (주임급) 채용,(주)피너클써치,2022-07-10,2022-06-04
기획·전략,"
, HRD, 인사교육, 교육기획, 조직문화, 기획,  ",정규직,경력 5년 이상,대학교(4년) 이상,서울 종로구,[국내 대기업] HRD (대리-과장급),(주)피너클써치,2022-07-10,2022-06-04
기획·전략,"
, HRD, 인사기획, 조직문화, 교육기획,  ",정규직,6 ~ 10년,대학교(4년) 이상,서울 중구,[국내 제조기업] HRD 채용,(주)피너클써치,2022-07-10,2022-06-04
기획·전략,"
, 임상개발, 제약/바이오, 사업제휴,  ",정규직,2 ~ 10년,석사 이상,경기 성남시 분당구,중견 제약기업 오픈이노베이션팀원,커리어커넥트(주),2022-07-02,2022-06-02
기획·전략,"
, BM(브랜드매니저), IMC, 상품기획, 마케팅, 기획,  ",정규직,1 ~ 6년,대학교(4년) 이상,경기 성남시 분당구,중견 제약회사 건기식BM,커리어커넥트(주),2022-06-28,2022-05-29
기획·전략,"
, 브랜드기획, 브랜드런칭, 브랜드기획, 기획, M&A,  ",정규직,7 ~ 17년,대학교(4년) 이상,서울 송파구,유명 식품가공/판매 프랜차이즈사..브랜드 기획 8년이상경력,(주)블루스타에이치알,2022-07-10,2022-06-04
기획·전략,"
, 마케팅전략, 프로덕트마케팅, 상품기획, 기획,  ",정규직,7 ~ 11년,대학교(4년) 이상,서울 강남구,외국계 주방용품 상품기획  (과장급),(주)스카우트,2022-07-08,2022-06-08
기획·전략,"
, 마케팅기획, 마케팅기획, 마케팅, 기획,  ",정규직,9 ~ 20년,대학교(4년) 이상,서울 서초구,마케팅매니저 (서울),커리어앤컴퍼니,채용시,2022-06-04
기획·전략,"
, 경영기획, 서비스기획, 기획,  ",정규직,5 ~ 15년,대학교(4년) 이상,서울 서초구,금융상품 서비스기획(매니저. 경력5-15년)-유명핀테크기업,(주)블루스타에이치알,2022-07-10,2022-06-04
기획·전략,"
, 백엔드/서버개발, 프론트엔드, CTO, 풀스택, API,  외            ",정규직,경력 7년 이상,학력무관,서울 강남구,05. Tech Lead [유명플랫폼사],베스트네트워크㈜,채용시,2022-05-27
기획·전략,"
, 전략기획, 신사업기획, 신사업발굴, 상품기획, 기획,  ",정규직,경력 8년 이상,대학교(4년) 이상,서울 강남구,05. 사업본부장(부장급) [유명 디지털 금융사],베스트네트워크㈜,채용시,2022-05-27
기획·전략,"
, 경영관리, 기획, 예산관리,  ",정규직,경력 3년 이상,대학교(4년) 이상,서울 강남구,05. 경영관리 [유명 디지털 금융사],베스트네트워크㈜,채용시,2022-05-27
기획·전략,"
, 투자전략, 사업기획, 기획, M&A,  ",정규직,경력 4년 이상,학력무관,서울 강남구,05. 전략투자 [유명 디지털 금융사],베스트네트워크㈜,채용시,2022-05-27
기획·전략,"
, MySQL, SQL, 통계/분석, 리서치, CSS,  외            ",정규직,3 ~ 10년,대학교(4년) 이상,서울 서초구,리스크관리.CSS전문가(경력3-7년)-유명핀테크기업,(주)블루스타에이치알,2022-07-10,2022-06-04
기획·전략,"
, PM(프로젝트매니저), 컨설턴트,  ",정규직,경력 5년 이상,"대학(2,3년) 이상",경기 수원시 영통구,수원영통. 중견기업 자동차 PM(Project Management) 채용,(주)블루스타에이치알,2022-07-03,2022-06-03
기획·전략,"
, MySQL, SQL, 서비스기획, 컨설턴트, 금융컨설팅,  외            ",정규직,경력 8년 이상,대학교(4년) 이상,서울 서초구,(금융)서비스기획(매니저. 경력5~15년)-유명핀테크기업,(주)블루스타에이치알,2022-07-10,2022-06-04
기획·전략,"
, 경영기획, 서비스기획, 기획,  ",정규직,5 ~ 15년,대학교(4년) 이상,서울 서초구,Product Manager(서비스기획. 경력5~15년)-유명핀테크기업,(주)블루스타에이치알,2022-07-10,2022-06-04
기획·전략,"
, 상품기획, 서비스기획, 기획,  ",정규직,경력 2년 이상,대학교(4년) 이상,서울 서초구,금융기획(경력2~10년)-유명핀테크기업,(주)블루스타에이치알,2022-07-10,2022-06-04
기획·전략,"
, MySQL, SQL, 통계/분석, 컨설턴트, 금융컨설팅,  외            ",정규직,경력 8년 이상,대학교(4년) 이상,서울 서초구,리스크관리.CSS전문가(매니저.경력8년이상)-유명핀테크기업,(주)블루스타에이치알,2022-07-10,2022-06-04
기획·전략,"
, 마케팅전략, 브랜드마케팅, 비즈니스마케팅, 온라인마케팅, 마케팅기획,  외            ",정규직,경력 4년 이상,대학교(4년) 이상,서울 송파구,온라인마케팅 경력4년이상.대리 과장 식품가공/판매 프랜차이즈,(주)블루스타에이치알,2022-06-30,2022-05-31
기획·전략,"
, 이커머스, 서비스기획, 기획, UI/UX,  ",정규직,4 ~ 10년,대학교(4년) 이상,서울 송파구,[유명 가구회사]서비스기획(E-Commerce) 경력직,(주)아데코코리아,2022-07-10,2022-06-04
기획·전략,"
, 광고기획, 브랜드기획, 기획,  ",정규직,경력무관,"대학(2,3년) 이상",서울 강남구,중견광고기획사 광고기획 또는 브랜드기획  사원 또는 주임,(주)서치브레인,채용시,2022-06-04
기획·전략,"
, 경영기획, 전략기획, M&A, 기업분석, 기업심사,  외            ",정규직,6 ~ 14년,대학교(4년) 이상,서울 서초구,[1군 건설사] 투자사업부 경력직 채용,(주)마이더스에이치알,채용시,2022-06-03
기획·전략,"
, AE(광고기획자), 블로그마케팅, SNS마케팅, 콘텐츠기획, 디지털마케팅,  외            ",정규직,경력 3년 이상,대학교(4년) 이상,서울 강남구,[대기업계열사/글로벌마케팅대행사] 소셜채널 운영 AE,(주)탑앤스카우트,2022-07-10,2022-06-03
기획·전략,"
, 경영지원, 지속가능경영, 법무,  ",정규직,경력 3년 이상,대학교(4년) 이상,서울 강남구,[우량 캐피탈] 기업법무 및 지배구조 관련 경력자 채용,(주)서치브레인,채용시,2022-06-03
기획·전략,"
, 경영기획, 전략기획, M&A, 기업분석, 기업심사,  외            ",정규직,3 ~ 11년,대학교(4년) 이상,서울 영등포구,[1군 건설사] 투자사업부 컨설팅 경력자 채용,(주)마이더스에이치알,채용시,2022-06-03
기획·전략,"
, 경영기획, 전략기획, M&A, 기업분석, 기업심사,  외            ",정규직,3 ~ 11년,대학교(4년) 이상,서울 영등포구,[1군 건설사] 투자사업부 투자전략 및 신사업전략 경력직 채용,(주)마이더스에이치알,채용시,2022-06-03
기획·전략,"
, 사업기획, 전략기획, 리서치, 사업개발, 시장조사,  외            ",정규직,경력 10년 이상,대학교(4년) 이상,서울 강남구,[서울/코스닥 상장 의료기기 업체] 사업 기획/개발,(주)탑앤스카우트,2022-07-10,2022-06-03
기획·전략,"
, 경영기획, 사업기획, 전략기획, 경영분석, 신사업기획,  ",정규직,경력 12년 이상,대학교(4년) 이상,서울 영등포구,"[1군 건설사] 경영기획팀 차,부장급 경력직 채용",(주)마이더스에이치알,채용시,2022-06-03
기획·전략,"
, 서비스기획, 컨설턴트, 서비스운영, 서비스관리, 사용자경험,  외            ",정규직,경력 2년 이상,학력무관,서울 강남구,[강남/자율출근 및 사옥 보유 핀테크업] 서비스 운영 채용,(주)탑앤스카우트,채용시,2022-05-27
기획·전략,"
, 프로모션기획, 마케팅기획, 마케팅전략, SNS마케팅, 광고마케팅,  외            ",정규직,3 ~ 10년,"대학(2,3년) 이상",서울 강남구,[서울/주식투자정보서비스] 온라인마케팅 경력직 채용,(주)탑앤스카우트,채용시,2022-05-27
기획·전략,"
, 블로그마케팅, SNS마케팅, 콘텐츠기획, 디지털마케팅, 바이럴마케팅,  외            ",정규직,경력 1년 이상,대학교(4년) 이상,서울 강남구,[삼성계열사/마케팅대행사] 대기업/이커머스 사이트 운영 대리급,(주)탑앤스카우트,2022-07-10,2022-06-03
기획·전략,"
, 서비스기획, 앱기획, 웹기획, 스토리보드, UI/UX,  외            ",정규직,경력 2년 이상,학력무관,서울 강남구,[강남/자율출근 및 사옥 보유 핀테크업] 서비스기획자 채용,(주)탑앤스카우트,채용시,2022-05-27
기획·전략,"
, 데이터분석,  ",정규직,5 ~ 10년,대학교(4년) 이상,서울 강남구,데이터 분석 (대리-과장급) / 중견 화장품업체,에이치알코어스,2022-07-10,2022-06-03
기획·전략,"
, 사업개발, 신사업발굴, 사업기획, 전략기획,  ",정규직,5 ~ 15년,대학교(4년) 이상,서울 금천구,[유망바이오벤처기업] 사업개발(BD) 경력직 채용,휴먼인써치,채용시,2022-05-27
기획·전략,"
, 데이터엔지니어, 데이터분석, 알고리즘, Python, R,  ",정규직,경력 3년 이상,석사 이상,서울 금천구,[유망벤처기업] 데이터 사이언티스트 경력직 채용,휴먼인써치,채용시,2022-05-27
기획·전략,"
, 데이터분석가, CRM마케팅, 데이터분석, SQL, 기획,  ",정규직,경력 3년 이상,대학교(4년) 이상,서울 강남구,[국내IT중견기업]데이터 분석 및 CRM 담당 경력직 채용,휴먼인써치,채용시,2022-05-27
기획·전략,"
, 앱기획, 웹기획, 기획,  ",정규직,경력 5년 이상,"대학(2,3년) 이상",서울 강남구,[IT중견기업] 모바일 앱 기획 경력직 채용,휴먼인써치,채용시,2022-05-27
기획·전략,"
, 인사교육, 인사기획, 인사기획, 인사, 온보딩,  외            ",정규직,경력 5년 이상,대학교(4년) 이상,서울 강남구,[유망IT스타트업] HR팀장 채용,휴먼인써치,채용시,2022-05-27
기획·전략,"
, 예산관리, 매장관리, 매출관리, 예산관리, 매장관리,  외            ",정규직,경력 3년 이상,대학교(4년) 이상,서울 강남구,글로벌 럭셔리 브랜드 - Retail Executive,HeNny & McCoy,채용시,2022-06-03
기획·전략,"
, 블로그마케팅, SNS마케팅, 콘텐츠기획, 디지털마케팅, 바이럴마케팅,  외            ",정규직,경력 10년 이상,대학교(4년) 이상,서울 강남구,[대기업계열사/글로벌마케팅대행사] 글로벌 브랜드 마케팅 팀장,(주)탑앤스카우트,2022-07-10,2022-06-03
기획·전략,"
, 가맹점관리, 가맹점영업, 점포개발, 컨설턴트,  ",정규직,3 ~ 12년,대학교(4년) 이상,서울 중구,[유명 프렌차이즈] 서울 가맹영업팀 SC(store consultant) 담당,(주)마이더스에이치알,2022-06-18,2022-06-03
기획·전략,"
, 무역영어, 통/번역, 영어, 글로벌조직운영,  ",정규직,1 ~ 10년,대학교(4년) 이상,서울 종로구,[글로벌 아웃소싱기업] 영어 통번역 및 해외 고객 관리,커리어커넥트(주),채용시,2022-05-31
기획·전략,"
, 무역영어, 통/번역, 지점관리자, 콜센터/고객센터, 영어,  외            ",정규직,경력 5년 이상,대학교(4년) 이상,서울 종로구,[글로벌 아웃소싱기업] 글로벌 프로젝트 운영 매니저,커리어커넥트(주),채용시,2022-05-31
기획·전략,"
, IT컨설팅, IT영업, IT컨설팅, PM(프로젝트매니저), 솔루션,  ",정규직,7 ~ 18년,대학교(4년) 이상,서울 영등포구,[글로벌 아웃소싱기업] 플랫폼 사업 PM,커리어커넥트(주),채용시,2022-05-31
기획·전략,"
, IR/공시, 재무제표, IPO, 경영기획, 전략기획,  외            ",정규직,경력 5년 이상,대학교(4년) 이상,경기 화성시,[동탄/코스닥] IR/공시 경력자,위키에이드,2022-07-07,2022-06-07
기획·전략,"
, ER(노무관리), HR컨설팅, HRD, HRM, 면접/인터뷰,  외            ",정규직,경력 7년 이상,대학교(4년) 이상,경기 성남시 분당구,[디지털 옥외광고 플랫폼 기업] 인사 기획,커리어커넥트(주),채용시,2022-05-30
기획·전략,"
, 기업회계, 외부감사, 재무회계, 경영기획, 경영분석,  외            ",정규직,3 ~ 12년,대학교(4년) 이상,서울 중구,[유명 프렌차이즈] 경영진단 담당자 채용,(주)마이더스에이치알,2022-06-21,2022-06-03
기획·전략,"
, 블로그마케팅, SNS마케팅, 콘텐츠기획, 디지털마케팅, 바이럴마케팅,  외            ",정규직,경력 1년 이상,대학교(4년) 이상,서울 강남구,[서울/대기업계열사/매출액600억] 플랫폼(Web/App) 활성화 기획,(주)탑앤스카우트,2022-07-10,2022-06-03
기획·전략,"
, SNS, 마케팅기획, 마케팅전략, 블로그마케팅, SNS마케팅,  외            ",정규직,7 ~ 12년,대학교(4년) 이상,서울 강남구,[서울/대기업계열사/글로벌마케팅대행사] 디지털 컨텐츠AE,(주)탑앤스카우트,2022-07-07,2022-06-07
기획·전략,"
, 서비스기획, 기획, 컨설턴트, 플랫폼, 프로덕트매니져,  ",정규직,경력 3년 이상,대학교(4년) 이상,서울 강남구,[의류/오픈마켓/B2B] 파트별 Product Manager 채용(3년이상),(주)라온서치,2022-06-17,2022-06-03
기획·전략,"
, HRM, 인사기획, 평가/보상, MBO, HRD,  외            ",정규직,3 ~ 7년,대학교(4년) 이상,서울 성동구,국내 반도체전문기업  - 인사 대리급,에버브레인 컨설팅(주),채용시,2022-06-07
기획·전략,"
, 관리회계, 경영기획, 사업기획, 경영분석, 예산관리,  외            ",정규직,5 ~ 10년,학력무관,서울 강남구,대기업자회사 해외법인)관리(관리회계) 담당자 채용,(주)휴먼트리월드와이드,2022-07-10,2022-06-03
기획·전략,"
, SNS, 마케팅기획, 마케팅전략, 블로그마케팅, SNS마케팅,  외            ",정규직,3 ~ 8년,"대학(2,3년) 이상",서울 강남구,[서울/대기업계열사/글로벌마케팅대행사] 소셜채널 운영AE,(주)탑앤스카우트,채용시,2022-05-27
기획·전략,"
, 영업마케팅, 병원마케팅, 마케팅기획, 마케팅전략, 블로그마케팅,  외            ",정규직,3 ~ 7년,대학교(4년) 이상,서울 강남구,[광고대행사] 디지털마케팅 홍보 경력직 (과장급),(주)맨파워그룹코리아,채용시,2022-06-03
기획·전략,"
, SAS, 설문조사, 시장조사, 통계/분석, 리서치,  외            ",정규직,경력 4년 이상,대학교(4년) 이상,서울 서초구,(가전 및 생활용품 기업) 소비자조사전문가 채용,(주)투비파트너즈,2022-06-17,2022-06-02
기획·전략,"
, 마케팅전략, 콘텐츠기획, 디지털마케팅, 브랜드마케팅, 콘텐츠마케팅,  외            ",정규직,경력 5년 이상,대학교(4년) 이상,서울 강남구,글로벌 유망 패션기업 마케팅 전략/기획 채용,굿커리어,2022-06-30,2022-05-31
기획·전략,"
, 매출관리, 기획MD, 매출관리, 브랜드기획, 브랜드기획,  외            ",정규직,경력 2년 이상,"대학(2,3년) 이상",서울 강남구,글로벌 유망 패션기업 상품기획MD(브랜드) 채용,굿커리어,2022-06-30,2022-05-31
기획·전략,"
, 경영기획, 기술기획, 사업기획, 경영분석, 경영컨설팅,  외            ",정규직,2 ~ 6년,대학교(4년) 이상,서울 강남구,수익화Monetization strategy(3-6 대리급)-글로벌Top유니콘기업,(주)에이치엘비파트너스,채용시,2022-06-02
기획·전략,"
, 서비스기획, 앱기획, 웹기획, 기획,  ",정규직,4 ~ 15년,대학교(4년) 이상,서울 강남구,[오디오 전자책 플랫폼 기업] 서비스 기획자,보보스링크(주),채용시,2022-06-02
기획·전략,"
, 사업기획, 컨설턴트,  ",정규직,경력 10년 이상,대학교(4년) 이상,서울 서초구,축산물 구매 담당 (차장-부장급),(주)조인스에이치알코리아,2022-06-13,2022-06-08
기획·전략,"
, PM(프로젝트매니저),  ",정규직,경력 15년 이상,대학교(4년) 이상,전북 김제시,외국계 식품 공장증설 프로젝트매니저(부장 이사),(주)스탠튼체이스코리아,2022-07-10,2022-06-02
기획·전략,"
, 데이터분석가, 데이터엔지니어, SQL, 리서치, 데이터분석,  외            ",정규직,3 ~ 15년,대학교(4년) 이상,서울 강남구,[우량 스타트업] Research Analyst(Data Analyst) 경력채용,(주)핀커스코리아,2022-06-18,2022-06-02
기획·전략,"
, 경영기획, 사업기획, 경영분석, 경영관리, 기획,  외            ",정규직,4 ~ 12년,대학교(4년) 이상,서울 강남구,[대기업그룹사] 경영기획 경력담당(4년-12년),(주)핀커스코리아,2022-06-17,2022-06-07
