main,middle,sub,operations,evaluation,STANDARD,DELUXE,PREMIUM,wishlist,title,name,url
디자인,로고·브랜딩,브랜딩,97,90,1680000,가격 없음,가격 없음,565,"나에게 꼭 맞는 디자인,  브랜딩 전문가가 제작해 드립니다.",아임디자인,https://kmong.com/gig/152909
디자인,블로그·SNS·썸네일,SNS·썸네일,1298,778,20000,35000,75000,548,트렌디하고 깔끔한 SNS 카드뉴스 홍보용 이미지 제작해 드립니다.,NEMOLAB,https://kmong.com/gig/134639
디자인,PPT·인포그래픽,PPT,639,580,22000,33000,110000,729,"""크몽상위 1프로전문가"" 정보에 힘을 싣는 디자인 약속 드립니다.",올어바웃PPT,https://kmong.com/gig/66699
디자인,일러스트·캐리커쳐,캐리커쳐,1368,160,50000,120000,230000,174,"영업, 상업용 캐리커쳐 세련되고 깔끔하게 맞춤 제작해 드립니다.",디공,https://kmong.com/gig/23783
디자인,로고·브랜딩,로고디자인,1502,48,100000,220000,320000,274,로고 퀄리티 누구보다 자신 있습니다. 최고의 로고 제작 드립니다.,그리미아트디자인,https://kmong.com/gig/330061
디자인,공간디자인,3D도면·모델링,111,74,500000,1000000,1500000,121,"외부투시도 조감도 중소형 조감도, 광역도 작업해 드립니다.",디자이너심우재,https://kmong.com/gig/133539
디자인,상세·이벤트 페이지,상세·이벤트 페이지,290,189,290000,490000,790000,501,"안팔린다면 기획형 상세페이지가 답,분석 기획 전략 도와 드립니다.",컴바인스튜디오,https://kmong.com/gig/289618
디자인,패키지 디자인,-,381,196,550000,770000,990000,730,제품의 특징에 맞춰 소비자가 사고싶은 패키지 디자인 해 드립니다.,BRANDHEALTH,https://kmong.com/gig/69438
디자인,웹·모바일 디자인,UI·UX디자인,23,18,5500000,7700000,11000000,235,"앱웹 UI 디자인, 화면설계,기획,프로토타입 제작해 드립니다.",ORDO,https://kmong.com/gig/106509
디자인,상세·이벤트 페이지,상세·이벤트 페이지,535,52,136000,680000,1430000,671,전문 기획자·촬영·디자인팀이 매출 상승 상세페이지를 드립니다.,알잘스튜디오,https://kmong.com/gig/307305
디자인,상세·이벤트 페이지,상세·이벤트 페이지,612,479,440000,660000,990000,1265,합리적인 견적으로 고퀄리티 상세페이지를 제작해 드립니다.,디자인에빠지다,https://kmong.com/gig/92769
디자인,패키지 디자인,-,171,70,550000,770000,990000,409,"""대기업출신"" 매출로 이어지는 패키지 디자인해 드립니다.",브랜드밈,https://kmong.com/gig/77519
디자인,상세·이벤트 페이지,기획·촬영·디자인,3222,145,605000,1210000,1815000,621,3년연속 크몽어워즈수상 확실한 매출상승의 기회를 드립니다.,누나디자인,https://kmong.com/gig/169954
디자인,패키지 디자인,-,656,288,280000,480000,1200000,728,"""2018 크몽어워즈 수상"" 귀사만을 위한 디자인솔루션 드립니다.",astudiog,https://kmong.com/gig/75514
디자인,블로그·SNS·썸네일,SNS·썸네일,801,537,44000,99000,165000,568,페이스북 인스타그램 등 SNS 카드뉴스 제작해 드립니다.,dajeongdesign,https://kmong.com/gig/144109
디자인,명함·인쇄·홍보물,전단·포스터·인쇄물,88,29,500000,700000,850000,133,디자인 전문가의 행사 키비쥬얼 및 포스터 디자인 제작해 드립니다.,원숭이디자인,https://kmong.com/gig/260688
디자인,웹·모바일 디자인,UI·UX디자인,102,66,2200000,4400000,7700000,305,포트폴리오를 먼저 검토하신 후 문의 부탁 드립니다.,inthex,https://kmong.com/gig/131303
디자인,블로그·SNS·썸네일,블로그·카페,4218,3409,50000,100000,200000,2090,고객만족도 100  홈페이지형 블로그 제작 드립니다.,홈파인,https://kmong.com/gig/81166
디자인,웹툰·캐릭터·이모티콘,2D 캐릭터,261,20,220000,550000,1100000,138,세상 하나뿐인 캐릭터를 통해 브랜드 가치를 상승시켜 드립니다.,HELLOMITO,https://kmong.com/gig/97207
디자인,로고·브랜딩,브랜딩,23,2,4500000,5500000,8800000,52,"좋은 브랜딩의 비밀, 10년 이상 가는 브랜드를 만들어 드립니다.",오얏리디자인,https://kmong.com/gig/312504
디자인,웹툰·캐릭터·이모티콘,웹툰·콘티,63,44,90000,300000,1800000,240,센스쩌는 페북웹툰 브랜드홍보웹툰을 그려 드립니다.,유메작가,https://kmong.com/gig/20656
디자인,로고·브랜딩,브랜딩,54,36,1650000,3300000,5500000,385,"""세계 3대 어워드 연속수상"" 상위 2프로의 전문성을 드립니다.",JAKJUNSTUDIO,https://kmong.com/gig/79552
디자인,일러스트·캐리커쳐,상업용 일러스트,119,95,50000,400000,600000,510,작은 아이콘부터 대형 포스터까지 모든 일러스트 작업해 드립니다.,illkim,https://kmong.com/gig/100470
디자인,PPT·인포그래픽,PPT,155,103,110000,220000,440000,371,"고급 제안서, 회사소개서, 지명원 PPT 디자인 해 드립니다.",BALANCEDESIGN,https://kmong.com/gig/79025
디자인,공간디자인,3D도면·모델링,56,52,150000,250000,300000,248,"일반형 건축 투시도,아이소 CG 3D 모델링 제작해 드립니다.",Arstell,https://kmong.com/gig/119026
디자인,포토샵·파일변환,보정·누끼·합성,894,676,5000,9000,160000,490,"바디프로필 보정,웨딩사진 보정 등 인물 사진보정 해 드립니다.",YUNretouching,https://kmong.com/gig/12076
디자인,상세·이벤트 페이지,상세·이벤트 페이지,241,73,550000,1650000,2750000,608,소셜커머스 출신 MD와 디자이너가 상세페이지 제작해 드립니다.,비티와이,https://kmong.com/gig/85515
디자인,블로그·SNS·썸네일,블로그·카페,578,300,60000,100000,200000,519,후기가 증명하는 홈페이지형 블로그디자인 고퀄리티 제작해 드립니다.,어반기획,https://kmong.com/gig/135390
디자인,로고·브랜딩,로고디자인,149,116,240000,340000,550000,340,귀사의 브랜드를 주인공으로 만들어 드립니다.,로고에코,https://kmong.com/gig/249182
디자인,로고·브랜딩,로고디자인,169,115,350000,650000,850000,264,"20년 경력 CI,BI 제작전문기업. 높은 퀄리티를약속 드립니다.",오름,https://kmong.com/gig/113022
디자인,로고·브랜딩,로고디자인,155,108,270000,가격 없음,가격 없음,496,프랑스 활동 디자이너가 감각적인 일러스트 로고 제작 해 드립니다.,MinwonStudio,https://kmong.com/gig/255561
디자인,명함·인쇄·홍보물,명함디자인,663,117,100000,가격 없음,가격 없음,164,심플한 명함 디자인 및 인쇄해 드립니다.,270디자인,https://kmong.com/gig/83346
디자인,PPT·인포그래픽,PPT,380,236,195000,375000,720000,832,맞춤 PPT 회사소개 투자IR 지원사업 발표자료 제작해 드립니다.,가든,https://kmong.com/gig/94508
디자인,명함·인쇄·홍보물,현수막·X배너,1811,312,33000,44000,55000,173,디자인스토리가 현수막도 빠르고 예쁘게 디자인 해 드립니다.,디자인스토리,https://kmong.com/gig/75642
디자인,제품·3D프린팅,3D프린팅·후가공,223,181,120000,200000,600000,113,3D프린팅용에 최적화된 모델링을 해 드립니다.,플레이온,https://kmong.com/gig/116904
디자인,포토샵·파일변환,보정·누끼·합성,270,226,5000,10000,15000,47,"정장합성,취업사진,합성,보정 등 고퀄리티 포토샵해 드립니다.",포토샵금손,https://kmong.com/gig/322242
디자인,로고·브랜딩,브랜딩,97,90,1680000,가격 없음,가격 없음,565,"나에게 꼭 맞는 디자인,  브랜딩 전문가가 제작해 드립니다.",아임디자인,https://kmong.com/gig/152909
디자인,블로그·SNS·썸네일,SNS·썸네일,1298,778,20000,35000,75000,548,트렌디하고 깔끔한 SNS 카드뉴스 홍보용 이미지 제작해 드립니다.,NEMOLAB,https://kmong.com/gig/134639
