main,middle,sub,operations,evaluation,STANDARD,DELUXE,PREMIUM,wishlist,title,name,url
문서·글쓰기,광고 카피라이팅,-,69,16,300000,가격 없음,가격 없음,44,"광고카피, 슬로건, 네이밍,브랜드 스토리 카피라이팅해 드립니다.",읏간지크리에이티브,https://kmong.com/gig/298684
문서·글쓰기,기업명·네이밍,-,492,279,300000,400000,500000,510,"브랜드명 회사명 상호명 제품명 네이밍,작명해 드립니다.",MUDI,https://kmong.com/gig/62854
문서·글쓰기,타이핑(영상),-,187,8,20000,40000,60000,6,"영어 컨퍼런스, 강의, 영문 미팅 영상 정확하게 타이핑 드립니다.",골드페이퍼,https://kmong.com/gig/303115
문서·글쓰기,책·전자책 출판,이야기·시·소설,14,10,100000,250000,500000,6,현직 출간작가가 글 써 드립니다.,비바체02,https://kmong.com/gig/375931
문서·글쓰기,맞춤양식,-,376,11,10000,가격 없음,가격 없음,12,"각종 영상요약이나 제품,관광지 비교 등을 정리요약해 드립니다.",정약용summary,https://kmong.com/gig/309328
문서·글쓰기,제품 카피라이팅,-,98,36,50000,150000,250000,278,"카피라이팅,스토리텔링,슬로건,상세페이지 문안 작성해 드립니다.",르샤아,https://kmong.com/gig/269287
문서·글쓰기,교정·교열 첨삭,-,1113,213,6000,12000,18000,206,교정 교열 윤문 어떤 글이든 세련되게 만들어 드립니다.,TRYn글,https://kmong.com/gig/130848
문서·글쓰기,광고 카피라이팅,-,59,39,300000,400000,500000,118,소비자의 마음과 지갑을 여는 카피를 써 드립니다.,GCMM,https://kmong.com/gig/332154
문서·글쓰기,SNS 카피라이팅,-,359,0,30000,80000,130000,14,감성인스타 팔로워 및 좋아요 한줄 홍보문구 제공해 드립니다.,기획자의습관,https://kmong.com/gig/360539
문서·글쓰기,제품 카피라이팅,-,385,163,220000,275000,330000,383,브랜드와 상품가치를 쑥쑥 올리는 상세페이지 원고 제작해 드립니다.,Paul003,https://kmong.com/gig/163187
문서·글쓰기,블로그 원고,-,302,211,7000,10000,13000,70,표절검사 완료된 블로그 원고 전달 드립니다.,베스트원고,https://kmong.com/gig/337535
문서·글쓰기,기업명·네이밍,-,962,299,770000,1430000,1980000,1161,확 당기는 네이밍·브랜드스토리·슬로건·카피라이팅 작성해 드립니다.,베씨,https://kmong.com/gig/65725
문서·글쓰기,타이핑(문서),녹취·문서 타이핑,1331,875,8000,9000,10000,221,녹취록 스크립트 전사 자막타이핑 드립니다.,독수리타자기,https://kmong.com/gig/40987
문서·글쓰기,산업별 전문 글작성,정부·공공기관,72,26,200000,300000,500000,31,"시장조사, 산업트렌드, 글로벌 동향 ""맞춤형"" 작성해 드립니다.",꼰대행정병,https://kmong.com/gig/336942
문서·글쓰기,제품 카피라이팅,-,30,27,790000,가격 없음,가격 없음,169,"매출 10배 오르는 상세페이지, 쇼핑몰, 컨설팅을 드립니다.",언카피,https://kmong.com/gig/284994
문서·글쓰기,블로그 원고,-,891,419,10000,40000,100000,391,Have a good write 맞춤형 글을 써 드립니다.,에디터P,https://kmong.com/gig/122966
문서·글쓰기,제품 카피라이팅,-,635,55,100000,370000,740000,431,아모레퍼시픽과 CJ출신이 화장품 상세페이지 기획 디자인 드립니다.,더블유프롬,https://kmong.com/gig/242367
문서·글쓰기,맞춤양식,-,1149,633,20000,50000,100000,340,"엑셀 서식, 엑셀 수식, 데이터 가공해 드립니다.",테사렉,https://kmong.com/gig/179161
문서·글쓰기,기업명·네이밍,-,703,281,550000,880000,1650000,477,기가막히고 코가막히는 브랜드네임을 제안해 드립니다.,버벌브랜더,https://kmong.com/gig/12588
문서·글쓰기,시나리오·대본,홍보 시나리오,100,54,200000,400000,800000,115,센스 있는 홍보 영상 라이브커머스 시나리오 끝장나게 드립니다.,최찌,https://kmong.com/gig/283311
문서·글쓰기,시나리오·대본,홍보 시나리오,64,34,500000,700000,1000000,134,"광고 기획, 홍보 영상 시나리오    당신의 브랜드에 특별한 가치를 담아 드립니다.",색다른글빨,https://kmong.com/gig/92082
문서·글쓰기,책·전자책 출판,이야기·시·소설,63,56,5000,6000,7000,108,20년 경력의 출판편집자가 보고서･자료집･논문･문서･책 편집해 드립니다.,잉걸미디어,https://kmong.com/gig/238746
문서·글쓰기,제품 카피라이팅,-,290,62,250000,490000,990000,426,"레이아웃,포토 예시 제안까지상세페이지 완벽하게 기획해 드립니다.",100프로,https://kmong.com/gig/202069
문서·글쓰기,보도자료·기사·칼럼,칼럼·논평·인터뷰,243,118,40000,150000,300000,85,칼럼 리뷰 동화 대본 감성글 스토리 등 다양한 글을 써 드립니다.,정갈한글쓰기,https://kmong.com/gig/217818
문서·글쓰기,맞춤양식,-,49,28,5000,가격 없음,가격 없음,17,"특수언어가능 보고서 학술지 논문 아래한글, 워드 편집해 드립니다.",JJINDESIGN,https://kmong.com/gig/338748
문서·글쓰기,광고 카피라이팅,-,68,27,800000,900000,1000000,113,가성비부터 가심비까지 꽉꽉 채운 카피 써 드립니다.,ADJI,https://kmong.com/gig/265702
문서·글쓰기,블로그 원고,-,1834,671,29000,90000,150000,475,"현직 작가가 모든 글쓰기 창작,첨삭해 드립니다.",Mind,https://kmong.com/gig/116129
문서·글쓰기,산업별 전문 글작성,문화·예술,94,82,10000,15000,20000,111,예술 관련 글과 논문을 교정.교열.첨삭해 드립니다.,Munro,https://kmong.com/gig/210091
문서·글쓰기,UX 라이팅,-,5,2,150000,300000,1500000,64,"중소기업, 스타트업 전문 파트너로 일해 드립니다.",맑은1nnovat1on,https://kmong.com/gig/122178
문서·글쓰기,보도자료·기사·칼럼,보도자료·기사,102,87,50000,가격 없음,가격 없음,103,전 메이저 신문 기자가 취재·기사 작성 및 노출을 도와 드립니다.,Iskra,https://kmong.com/gig/188963
문서·글쓰기,타이핑(영상),-,434,243,5000,가격 없음,가격 없음,66,속기사가 강의 음성 타이핑 및 유튜브 영상 자막 제작해 드립니다.,TYP1ST타이퍼스트,https://kmong.com/gig/278217
문서·글쓰기,교정·교열 첨삭,-,144,112,5000,10000,30000,75,현직 교열기자입니다. 온라인 교열/출장 교열 해 드립니다.,류승하,https://kmong.com/gig/265276
문서·글쓰기,블로그 원고,-,385,202,22000,가격 없음,가격 없음,177,블로그 파워컨텐츠 원고 장인처럼 정성을 다해 드립니다.,Paul003,https://kmong.com/gig/150596
문서·글쓰기,타이핑(문서),전문 속기·타이핑,642,176,40000,100000,170000,72,국가공인1급속기사 녹취록 증거제출용  작성해 드립니다.,지인속기,https://kmong.com/gig/66192
문서·글쓰기,시나리오·대본,홍보 시나리오,143,65,350000,가격 없음,가격 없음,388,스토리텔링 시놉시스 스토리 시나리오 대본 기획서 제작해 드립니다.,뒤돌려차기,https://kmong.com/gig/13065
문서·글쓰기,교정·교열 첨삭,-,1062,67,5000,10000,15000,99,"""교정교열, 윤문""  고민 끝내주는 글비서가 되어 드립니다.",글비서,https://kmong.com/gig/119971
문서·글쓰기,광고 카피라이팅,-,69,16,300000,가격 없음,가격 없음,44,"광고카피, 슬로건, 네이밍,브랜드 스토리 카피라이팅해 드립니다.",읏간지크리에이티브,https://kmong.com/gig/298684
문서·글쓰기,기업명·네이밍,-,492,279,300000,400000,500000,510,"브랜드명 회사명 상호명 제품명 네이밍,작명해 드립니다.",MUDI,https://kmong.com/gig/62854
문서·글쓰기,타이핑(영상),-,187,8,20000,40000,60000,6,"영어 컨퍼런스, 강의, 영문 미팅 영상 정확하게 타이핑 드립니다.",골드페이퍼,https://kmong.com/gig/303115
문서·글쓰기,책·전자책 출판,이야기·시·소설,14,10,100000,250000,500000,6,현직 출간작가가 글 써 드립니다.,비바체02,https://kmong.com/gig/375931
문서·글쓰기,맞춤양식,-,376,11,10000,가격 없음,가격 없음,12,"각종 영상요약이나 제품,관광지 비교 등을 정리요약해 드립니다.",정약용summary,https://kmong.com/gig/309328
문서·글쓰기,제품 카피라이팅,-,98,36,50000,150000,250000,278,"카피라이팅,스토리텔링,슬로건,상세페이지 문안 작성해 드립니다.",르샤아,https://kmong.com/gig/269287
문서·글쓰기,교정·교열 첨삭,-,1113,213,6000,12000,18000,206,교정 교열 윤문 어떤 글이든 세련되게 만들어 드립니다.,TRYn글,https://kmong.com/gig/130848
문서·글쓰기,광고 카피라이팅,-,59,39,300000,400000,500000,118,소비자의 마음과 지갑을 여는 카피를 써 드립니다.,GCMM,https://kmong.com/gig/332154
문서·글쓰기,SNS 카피라이팅,-,359,0,30000,80000,130000,14,감성인스타 팔로워 및 좋아요 한줄 홍보문구 제공해 드립니다.,기획자의습관,https://kmong.com/gig/360539
