main,middle,sub,operations,evaluation,STANDARD,DELUXE,PREMIUM,wishlist,title,name,url
번역·통역,일반 번역,기타,14,10,40000,50000,65000,27,원어민급이 아닌 진짜  원어민이 전문적으로 아랍어 및 영어 통번역을 해 드립니다.,쟈스민09,https://kmong.com/gig/119766
번역·통역,통역,영어,,0,600000,900000,1500000,1,조재경 한영통역사의 전문 통역서비스를 제공해 드립니다.,조재경통역사,https://kmong.com/gig/205125
번역·통역,일반 번역,영어,1876,1322,15000,가격 없음,가격 없음,305,상위 0.01프로 통번역 전문가의 1시간 영어번역 드립니다.,솔로몬통번역,https://kmong.com/gig/164511
번역·통역,산업별 전문번역,영어,1984,1386,15000,가격 없음,가격 없음,486,"뷰티, 화장품 경력 10년의 전문번역가가 서비스 제공을 드립니다.",Jasminepark,https://kmong.com/gig/110591
번역·통역,산업별 전문번역,영어,793,363,15000,가격 없음,가격 없음,147,오바마 대통령상 뉴욕변호사가 직접 번역 드립니다.,홍변,https://kmong.com/gig/177244
번역·통역,영상번역,영어,184,66,20000,25000,60000,74,"한영 영한 프리미엄 영화번역, 기업영상번역, 영상편집해 드립니다.",크리에이티브콘텐츠,https://kmong.com/gig/104211
번역·통역,산업별 전문번역,영어,125,78,10000,가격 없음,가격 없음,66,"아시아Top 홍콩과기대 컴공 및 경영학사, IT영어번역 드립니다.",열정과냉정사이,https://kmong.com/gig/267553
번역·통역,일반 번역,영어,452,289,5000,8000,12000,81,"유학생활 15년차, 글로벌 이커머스 7년차 영어번역 해 드립니다.",호두박사,https://kmong.com/gig/327053
번역·통역,영상번역,영어,998,55,5000,10000,15000,66,"비즈니스 영문 번역, 유튜브 자막 영어 번역, 영상번역 드립니다.",번역가지아나,https://kmong.com/gig/154931
번역·통역,산업별 전문번역,영어,381,282,10000,15000,20000,170,타고난 열정과 언어적 감각으로 꼼꼼하고 정확하게 번역해 드립니다.,BrianChoi,https://kmong.com/gig/77499
번역·통역,일반 번역,중국어,243,162,5000,가격 없음,가격 없음,67,"현지거주15년이상,10년 통번역경력으로 완벽하게 변역해 드립니다.",테레사,https://kmong.com/gig/216538
번역·통역,산업별 전문번역,베트남어 ,136,96,9000,18000,30000,36,"비지니스,마케팅 자료 원어민 번역사가 깔끔하게 번역해 드립니다.",번역개미,https://kmong.com/gig/186551
번역·통역,일반 번역,베트남어,183,123,5000,15000,25000,35,10년차 베트남인이 고품질의 현지에 맞는 번역을 안겨 드립니다.,chiwon,https://kmong.com/gig/209653
번역·통역,일반 번역,베트남어,1045,674,6000,15000,30000,117,원어민 전문 번역가의 한국어와 베트남어 번역 서비스 드립니다.,VietnamT,https://kmong.com/gig/63059
번역·통역,통역,영어,12,5,660000,990000,1650000,12,국내Top통번역대학원 통역사의 Premium 통역서비스 드립니다.,테크앤커뮤니케이션,https://kmong.com/gig/152155
번역·통역,영상번역,영어,1804,159,12000,22000,32000,134,2018 크몽 어워즈 수상 영상 번역가가 영어 번역해 드립니다.,Melbourne,https://kmong.com/gig/131416
번역·통역,일반 번역,중국어,1538,18,30000,40000,50000,12,중국어 프리미엄번역  전문번역 및 감수자들이 프리미엄 중국어번역을 해 드립니다.,강번역사,https://kmong.com/gig/167496
번역·통역,산업별 전문번역,영어,67,63,30000,가격 없음,가격 없음,86,예술 전문 프리미엄 번역 서비스를 제공해 드립니다.,KAKI,https://kmong.com/gig/259098
번역·통역,통역,영어,15,13,330000,660000,990000,19,"각종 비즈니스 회의 통역,영어 PT 대행, 영어MC 해 드립니다.",YounieK,https://kmong.com/gig/301088
번역·통역,통역,기타,31,31,50000,가격 없음,가격 없음,22,"비즈니스 태국어 통번역 계약,협상,수행등  해 드립니다.",원쌤,https://kmong.com/gig/144777
번역·통역,일반 번역,독일어,127,99,18000,22000,30000,27,꼼꼼하고 빠르며 정성을 들인 번역을 드립니다.,무딘연필,https://kmong.com/gig/164037
번역·통역,산업별 전문번역,영어,309,236,15000,가격 없음,가격 없음,156,뉴욕 갤러리 디렉터의 현대미술과 예술관련 프리미엄 번역 드립니다.,SummerL,https://kmong.com/gig/179711
번역·통역,일반 번역,영어,301,210,12000,15000,20000,113,의료 보건 계약서 논문 비지니스 홍보물 웹사이트 번역 드립니다.,HANAPARK,https://kmong.com/gig/146725
번역·통역,일반 번역,프랑스어,459,328,20000,25000,30000,66,프랑스 현지 번역가 정확하고 자연스러운 불어 번역을 해 드립니다.,빈센트번역,https://kmong.com/gig/79523
번역·통역,일반 번역,영어,439,366,5000,10000,15000,85,"YBM 그랜드 마스터 영한, 한영 번역 영작문 해 드립니다.",PetrichorPatrick,https://kmong.com/gig/152994
번역·통역,영상번역,기타,109,65,19000,29000,39000,21,"프랑스어 번역포폴, 영화등 프랑스인과 한국인이 함께 드립니다.",IreneJeong,https://kmong.com/gig/150155
번역·통역,일반 번역,일본어,87,59,10000,15000,20000,29,각종 문서 편집 포함하여 빠르고 꼼꼼하게 번역을 해 드립니다.,데일리번역,https://kmong.com/gig/51131
번역·통역,일반 번역,중국어,1608,1186,5000,10000,15000,245,중국 경력 17년 전문가 실시간 한중 중한 전문 번역해 드립니다.,강슬기,https://kmong.com/gig/71750
번역·통역,통역,중국어,1,0,500000,700000,900000,4,【이대통번역대학원 졸업 + 북경대 졸업】의료 메디컬 법률 과학 동시 순차 통역 드립니다.,우유정통역사,https://kmong.com/gig/158036
번역·통역,영상번역,중국어,244,16,8000,13000,20000,56,"중국어 중국드라마, 유튜브, 각종 영상 번역해 드립니다.",중국어번역가,https://kmong.com/gig/130738
번역·통역,영상번역,일본어,80,23,10000,15000,20000,12,"일본어  ""유튜브영상 일반영상"" 일본어 번역 자막제작 해 드립니다.",토마스진,https://kmong.com/gig/129589
번역·통역,일반 번역,러시아어,69,52,15000,20000,25000,23,"한 러, 러 한, 영 한, 한 러 번역  러시아어 번역 경험 다수 서비스 드립니다.",AmiNa,https://kmong.com/gig/102831
번역·통역,통역,영어,12,1,660000,990000,1650000,7,국내Top통번역대학원 통역사의 Premium 통역서비스 드립니다.,테크앤커뮤니케이션,https://kmong.com/gig/152252
번역·통역,통역,중국어,12,1,770000,880000,1650000,9,국내Top통번역대학원 통역사의 Premium 통역서비스 드립니다.,테크앤커뮤니케이션,https://kmong.com/gig/152257
번역·통역,통역,일본어,12,2,770000,880000,1650000,4,국내Top통번역대학원 통역사의 Premium 통역서비스 드립니다.,테크앤커뮤니케이션,https://kmong.com/gig/152258
번역·통역,일반 번역,베트남어,83,54,10000,20000,25000,20,"유학9년차 석,박사 수료 원어민이 고품질 번역 서비스를 제공해 드립니다.",maimai88,https://kmong.com/gig/164827
번역·통역,일반 번역,기타,14,10,40000,50000,65000,27,원어민급이 아닌 진짜  원어민이 전문적으로 아랍어 및 영어 통번역을 해 드립니다.,쟈스민09,https://kmong.com/gig/119766
번역·통역,통역,영어,,0,600000,900000,1500000,1,조재경 한영통역사의 전문 통역서비스를 제공해 드립니다.,조재경통역사,https://kmong.com/gig/205125
